"id","cause","effect","raw_response"
"row0","Rise in housing market speculation","Increased risk of property price bubbles","```json\n{\n  """"cause"""": """"Rise in housing market speculation"""",\n  """"effect"""": """"Increased risk of property price bubbles""""\n}\n```"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","```json\n{\n  """"cause"""": """"Supply chain disruptions due to pandemics"""",\n  """"effect"""": """"Inflationary pressures on consumer goods""""\n}\n```"
"row2","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","```json\n{\n  """"cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""",\n  """"effect"""": """"Increased prices of commodities such as oil""""\n}\n```"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","```json\n{\n  """"cause"""": """"Tightening regulations on cryptocurrency exchanges"""",\n  """"effect"""": """"Reduced market liquidity""""\n}\n```"
"row5","reduced corporate real estate expenditures","","```json\n{\n  """"cause"""": """"reduced corporate real estate expenditures"""",\n  """"effect"""": """"""""\n}\n```"
"row6","the increase in compliance costs for businesses","one such outcome of broader legal shifts","```json\n{\n  """"cause"""": """"the increase in compliance costs for businesses"""",\n  """"effect"""": """"one such outcome of broader legal shifts""""\n}\n```"
"row7","adoption of central bank digital currencies (CBDCs)","changes in cash usage, which notably declined","```json\n{\n  """"cause"""": """"adoption of central bank digital currencies (CBDCs)"""",\n  """"effect"""": """"changes in cash usage, which notably declined""""\n}\n```"
"row8","Increased international trade tariffs","Reduction in import-dependent industries' profitability","```json\n{\n  """"cause"""": """"Increased international trade tariffs"""",\n  """"effect"""": """"Reduction in import-dependent industries' profitability""""\n}\n```"
"row9","rising inflation rates","decreased consumer purchasing power","```json\n{\n  """"cause"""": """"rising inflation rates"""",\n  """"effect"""": """"decreased consumer purchasing power""""\n}\n```"
"row10","Decreased private investment in solar power projects","The growing focus on financial knowledge","```json\n{\n  """"cause"""": """"Decreased private investment in solar power projects"""",\n  """"effect"""": """"The growing focus on financial knowledge""""\n}\n```"
"row11","improved access to credit for small businesses","fintech grew","```json\n{\n  """"cause"""": """"improved access to credit for small businesses"""",\n  """"effect"""": """"fintech grew""""\n}\n```"
"row12","the sudden bankruptcy of major banks","investor confidence appeared to decline","```json\n{\n  """"cause"""": """"the sudden bankruptcy of major banks"""",\n  """"effect"""": """"investor confidence appeared to decline""""\n}\n```"
"row13","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row14","Expansion of financial literacy education","Increased household savings rates","```json\n{\n  """"cause"""": """"Expansion of financial literacy education"""",\n  """"effect"""": """"Increased household savings rates""""\n}\n```"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","```json\n{\n  """"cause"""": """"the ongoing rise in remote banking services"""",\n  """"effect"""": """"physical bank branches saw a marked decline""""\n}\n```"
"row16","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row17","the shift toward AI-driven credit scoring","increased accuracy in loan approvals","```json\n{\n  """"cause"""": """"the shift toward AI-driven credit scoring"""",\n  """"effect"""": """"increased accuracy in loan approvals""""\n}\n```"
"row18","Introduction of algorithmic trading strategies","Increased volatility in financial markets","```json\n{\n  """"cause"""": """"Introduction of algorithmic trading strategies"""",\n  """"effect"""": """"Increased volatility in financial markets""""\n}\n```"
"row19","improved transparency in transactions","","```json\n{\n  """"cause"""": """"improved transparency in transactions"""",\n  """"effect"""": """"""""\n}\n```"
"row20","Central bank raises interest rates","Consumer borrowing decreases","```json\n{\n  """"cause"""": """"Central bank raises interest rates"""",\n  """"effect"""": """"Consumer borrowing decreases""""\n}\n```"
"row21","sanctions","reduction of foreign direct investment","```json\n{\n  """"cause"""": """"sanctions"""",\n  """"effect"""": """"reduction of foreign direct investment""""\n}\n```"
"row22","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row23","strengthened regulations","increased administrative overhead","```json\n{\n  """"cause"""": """"strengthened regulations"""",\n  """"effect"""": """"increased administrative overhead""""\n}\n```"
"row24","the shift toward digital payment systems accelerated","Physical currency circulation naturally declined","```json\n{\n  """"cause"""": """"the shift toward digital payment systems accelerated"""",\n  """"effect"""": """"Physical currency circulation naturally declined""""\n}\n```"
"row25","Increased renewable energy production","Expansion of offshore wind farms in the region","```json\n{\n  """"cause"""": """"Increased renewable energy production"""",\n  """"effect"""": """"Expansion of offshore wind farms in the region""""\n}\n```"
"row26","Increased desalination plant operations","Increased brine discharge impacting marine ecosystems","```json\n{\n  """"cause"""": """"Increased desalination plant operations"""",\n  """"effect"""": """"Increased brine discharge impacting marine ecosystems""""\n}\n```"
"row27","Adoption of electric vehicles","Reduction in urban air pollution","```json\n{\n  """"cause"""": """"Adoption of electric vehicles"""",\n  """"effect"""": """"Reduction in urban air pollution""""\n}\n```"
"row28","Adoption of stringent emissions regulations","Reduction in industrial pollution","```json\n{\n  """"cause"""": """"Adoption of stringent emissions regulations"""",\n  """"effect"""": """"Reduction in industrial pollution""""\n}\n```"
"row29","Expansion of protected marine reserves","Recovery of fish populations","```json\n{\n  """"cause"""": """"Expansion of protected marine reserves"""",\n  """"effect"""": """"Recovery of fish populations""""\n}\n```"
"row30","Extensive fertilizer runoff","Increased eutrophication in aquatic ecosystems","```json\n{\n  """"cause"""": """"Extensive fertilizer runoff"""",\n  """"effect"""": """"Increased eutrophication in aquatic ecosystems""""\n}\n```"
"row31","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row32","Melting permafrost in polar regions","Increased methane release","```json\n{\n  """"cause"""": """"Melting permafrost in polar regions"""",\n  """"effect"""": """"Increased methane release""""\n}\n```"
"row33","Intensified hurricane activity","Increased coastal infrastructure damage","```json\n{\n  """"cause"""": """"Intensified hurricane activity"""",\n  """"effect"""": """"Increased coastal infrastructure damage""""\n}\n```"
"row34","Rapid glacial retreat in mountainous regions","Reduced freshwater availability in areas","```json\n{\n  """"cause"""": """"Rapid glacial retreat in mountainous regions"""",\n  """"effect"""": """"Reduced freshwater availability in areas""""\n}\n```"
"row35","Rapid ocean acidification","Decreased coral reef resilience","```json\n{\n  """"cause"""": """"Rapid ocean acidification"""",\n  """"effect"""": """"Decreased coral reef resilience""""\n}\n```"
"row36","Severe soil erosion due to intensive agriculture","Reduced land productivity","```json\n{\n  """"cause"""": """"Severe soil erosion due to intensive agriculture"""",\n  """"effect"""": """"Reduced land productivity""""\n}\n```"
"row37","Increased microplastic pollution","Decline in marine life populations","```json\n{\n  """"cause"""": """"Increased microplastic pollution"""",\n  """"effect"""": """"Decline in marine life populations""""\n}\n```"
"row38","Loss of native species along corridors benefitting from Increased prevalence of invasive species due to global trade","","```json\n{\n  """"cause"""": """"Loss of native species along corridors benefitting from Increased prevalence of invasive species due to global trade"""",\n  """"effect"""": """"""""\n}\n```"
"row39","Implementation of plastic bag bans","Reduction in plastic waste","```json\n{\n  """"cause"""": """"Implementation of plastic bag bans"""",\n  """"effect"""": """"Reduction in plastic waste""""\n}\n```"
"row40","Increased frequency of forest fires","Reduction in biodiversity","```json\n{\n  """"cause"""": """"Increased frequency of forest fires"""",\n  """"effect"""": """"Reduction in biodiversity""""\n}\n```"
"row41","Rapid melting of Antarctic ice shelves","Acceleration of global sea-level rise","```json\n{\n  """"cause"""": """"Rapid melting of Antarctic ice shelves"""",\n  """"effect"""": """"Acceleration of global sea-level rise""""\n}\n```"
"row42","habitat disruption","wildlife in tracts earmarked for development of large-scale solar farms","```json\n{\n  """"cause"""": """"habitat disruption"""",\n  """"effect"""": """"wildlife in tracts earmarked for development of large-scale solar farms""""\n}\n```"
"row43","Rising global average temperatures","Increased frequency of heatwaves","```json\n{\n  """"cause"""": """"Rising global average temperatures"""",\n  """"effect"""": """"Increased frequency of heatwaves""""\n}\n```"
"row44","Adoption of regenerative agriculture practices","Increased soil carbon sequestration","```json\n{\n  """"cause"""": """"Adoption of regenerative agriculture practices"""",\n  """"effect"""": """"Increased soil carbon sequestration""""\n}\n```"
"row45","Loss of wetlands in zones supporting Expansion of urban areas","","```json\n{\n  """"cause"""": """"Loss of wetlands in zones supporting Expansion of urban areas"""",\n  """"effect"""": """"""""\n}\n```"
"row46","Enhanced public transportation infrastructure","Reduced urban greenhouse gas emissions","```json\n{\n  """"cause"""": """"Enhanced public transportation infrastructure"""",\n  """"effect"""": """"Reduced urban greenhouse gas emissions""""\n}\n```"
"row47","Extensive deforestation in tropical regions","Reduction in regional rainfall within areas","```json\n{\n  """"cause"""": """"Extensive deforestation in tropical regions"""",\n  """"effect"""": """"Reduction in regional rainfall within areas""""\n}\n```"
"row48","Widespread drought conditions","Reduced agricultural productivity","```json\n{\n  """"cause"""": """"Widespread drought conditions"""",\n  """"effect"""": """"Reduced agricultural productivity""""\n}\n```"
"row49","Increased urban heat islands due to construction","acceleration of global sea‑level rise","```json\n{\n  """"cause"""": """"Increased urban heat islands due to construction"""",\n  """"effect"""": """"acceleration of global sea‑level rise""""\n}\n```"
