id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,1.0,1.0,1.0,Rise in housing market speculation,Increased risk of property price bubbles,Rise in housing market speculation,Increased risk of property price bubbles,"{""cause_score"": 1, ""effect_score"": 1}"
row1,1.0,1.0,1.0,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"{""cause_score"": 1, ""effect_score"": 1}"
row2,1.0,1.0,1.0,Rise in ESG investing standards,Growth in sustainable investment funds,Rise in ESG investing standards,Growth in sustainable investment funds,"{""cause_score"": 1, ""effect_score"": 1}"
row3,0.5,1.0,0.75,Escalation of geopolitical tensions and the broader economic environment,Increased prices of commodities such as oil,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"{""cause_score"": 0.5, ""effect_score"": 1}"
row4,1.0,1.0,1.0,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"{""cause_score"": 1, ""effect_score"": 1}"
row5,1.0,1.0,1.0,remote work policies were widely adopted,reduced corporate real estate expenditures,Implementation of remote work policies,Reduced corporate real estate expenditures,"{""cause_score"": 1, ""effect_score"": 1}"
row6,1.0,1.0,1.0,changes in data privacy laws,increase in compliance costs for businesses,Enhanced data privacy legislation,Increased compliance costs for businesses,"{""cause_score"": 1, ""effect_score"": 1}"
row7,1.0,1.0,1.0,adoption of central bank digital currencies (CBDCs),"changes in cash usage, which notably declined",Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"{""cause_score"": 1, ""effect_score"": 1}"
row8,1.0,1.0,1.0,Increased international trade tariffs,Reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"{""cause_score"": 1, ""effect_score"": 1}"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"{""cause_score"": 1, ""effect_score"": 1}"
row10,1.0,1.0,1.0,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"{""cause_score"": 1, ""effect_score"": 1}"
row11,1.0,1.0,1.0,the rise of fintech lending platforms,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"{""cause_score"": 1, ""effect_score"": 1}"
row12,1.0,1.0,1.0,the sudden bankruptcy of major banks,investor confidence appeared to decline,Sudden bankruptcy of major banks,Decline in investor confidence,"{""cause_score"": 1, ""effect_score"": 1}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"{""cause_score"": 0, ""effect_score"": 0}"
row14,1.0,1.0,1.0,Expansion of financial literacy education,Increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"{""cause_score"": 1, ""effect_score"": 1}"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"{""cause_score"": 1, ""effect_score"": 1}"
row16,1.0,1.0,1.0,implementation of carbon taxes,increased operational costs for heavy industries,Implementation of carbon taxes,Increased operational costs for heavy industries,"{""cause_score"": 1, ""effect_score"": 1}"
row17,0.0,0.0,0.0,the technology was linked to increased accuracy in loan approvals,the shift toward AI-driven credit scoring gained attention,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"{""cause_score"": 0, ""effect_score"": 0}"
row18,1.0,1.0,1.0,Introduction of algorithmic trading strategies,Increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"{""cause_score"": 1, ""effect_score"": 1}"
row19,0.5,1.0,0.75,use of blockchain,improved transparency in transactions,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"{""cause_score"": 0.5, ""effect_score"": 1}"
row20,1.0,1.0,1.0,Central bank raises interest rates,Consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"{""cause_score"": 1, ""effect_score"": 1}"
row21,0.5,0.0,0.25,"sanctions, slowed economic growth",reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"{""cause_score"": 0.5, ""effect_score"": 0}"
row22,0.0,0.0,0.0,,,Increased corporate mergers and acquisitions,Reduction in market competition,"{""cause_score"": 0, ""effect_score"": 0}"
row23,0.5,0.5,0.5,strengthened regulations,increased administrative overhead,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"{""cause_score"": 0.5, ""effect_score"": 0.5}"
row24,1.0,1.0,1.0,the shift toward digital payment systems accelerated,Physical currency circulation naturally declined,Shift towards digital payment systems,Reduced circulation of physical currency,"{""cause_score"": 1, ""effect_score"": 1}"
row25,0.0,0.0,0.0,Increased renewable energy production,Expansion of offshore wind farms in the region,Expansion of offshore wind farms,Increased renewable energy production,"{""cause_score"": 0, ""effect_score"": 0}"
row26,1.0,1.0,1.0,Increased desalination plant operations,Increased brine discharge impacting marine ecosystems,Increased desalination plant operations,Increased brine discharge impacting marine ecosystems,"{""cause_score"": 1, ""effect_score"": 1}"
row27,1.0,1.0,1.0,Adoption of electric vehicles,Reduction in urban air pollution,Adoption of electric vehicles,Reduction in urban air pollution,"{""cause_score"": 1, ""effect_score"": 1}"
row28,1.0,1.0,1.0,Adoption of stringent emissions regulations,Reduction in industrial pollution,Adoption of stringent emissions regulations,Reduction in industrial pollution,"{""cause_score"": 1, ""effect_score"": 1}"
row29,1.0,1.0,1.0,Expansion of protected marine reserves,Recovery of fish populations,Expansion of protected marine reserves,Recovery of fish populations,"{""cause_score"": 1, ""effect_score"": 1}"
row30,1.0,1.0,1.0,Extensive fertilizer runoff,Increased eutrophication in aquatic ecosystems,Extensive fertilizer runoff,Increased eutrophication in aquatic ecosystems,"{""cause_score"": 1, ""effect_score"": 1}"
row31,1.0,1.0,1.0,Implementation of urban tree planting programs,Mitigation of urban air pollution,Implementation of urban tree planting programs,Mitigation of urban air pollution,"{""cause_score"": 1, ""effect_score"": 1}"
row32,1.0,1.0,1.0,Melting permafrost in polar regions,Increased methane release,Melting permafrost in polar regions,Increased methane release,"{""cause_score"": 1, ""effect_score"": 1}"
row33,1.0,1.0,1.0,Intensified hurricane activity,Increased coastal infrastructure damage,Intensified hurricane activity,Increased coastal infrastructure damage,"{""cause_score"": 1, ""effect_score"": 1}"
row34,1.0,1.0,1.0,Rapid glacial retreat in mountainous regions,Reduced freshwater availability in areas,Rapid glacial retreat in mountainous regions,Reduced freshwater availability,"{""cause_score"": 1, ""effect_score"": 1}"
row35,1.0,1.0,1.0,Rapid ocean acidification,Decreased coral reef resilience,Rapid ocean acidification,Decreased coral reef resilience,"{""cause_score"": 1, ""effect_score"": 1}"
row36,1.0,1.0,1.0,Severe soil erosion due to intensive agriculture,Reduced land productivity,Severe soil erosion due to intensive agriculture,Reduced land productivity,"{""cause_score"": 1, ""effect_score"": 1}"
row37,1.0,1.0,1.0,Increased microplastic pollution,Decline in marine life populations,Increased microplastic pollution,Decline in marine life populations,"{""cause_score"": 1, ""effect_score"": 1}"
row38,1.0,0.5,0.75,Increased prevalence of invasive species due to global trade,Loss of native species along corridors,Increased prevalence of invasive species due to global trade,Loss of native species,"{""cause_score"": 1, ""effect_score"": 0.5}"
row39,1.0,1.0,1.0,Implementation of plastic bag bans,Reduction in plastic waste,Implementation of plastic bag bans,Reduction in plastic waste,"{""cause_score"": 1, ""effect_score"": 1}"
row40,1.0,1.0,1.0,Increased frequency of forest fires,Reduction in biodiversity,Increased frequency of forest fires,Reduction in biodiversity,"{""cause_score"": 1, ""effect_score"": 1}"
row41,1.0,1.0,1.0,Rapid melting of Antarctic ice shelves,Acceleration of global sea-level rise,Rapid melting of Antarctic ice shelves,Acceleration of global sea-level rise,"{""cause_score"": 1, ""effect_score"": 1}"
row42,1.0,1.0,1.0,development of large-scale solar farms,habitat disruption for wildlife in,Development of large-scale solar farms,Habitat disruption for wildlife,"{""cause_score"": 1, ""effect_score"": 1}"
row43,0.0,0.0,0.0,Increased frequency of heatwaves on parcels facing Rising global average temperatures,concurrent commodity price swings and labor shortages,Rising global average temperatures,Increased frequency of heatwaves,"{""cause_score"": 0, ""effect_score"": 0}"
row44,1.0,1.0,1.0,Adoption of regenerative agriculture practices,Increased soil carbon sequestration,Adoption of regenerative agriculture practices,Increased soil carbon sequestration,"{""cause_score"": 1, ""effect_score"": 1}"
row45,1.0,1.0,1.0,Expansion of urban areas,Loss of wetlands in zones supporting,Expansion of urban areas,Loss of wetlands,"{""cause_score"": 1, ""effect_score"": 1}"
row46,1.0,1.0,1.0,Enhanced public transportation infrastructure,Reduced urban greenhouse gas emissions,Enhanced public transportation infrastructure,Reduced urban greenhouse gas emissions,"{""cause_score"": 1, ""effect_score"": 1}"
row47,1.0,1.0,1.0,Extensive deforestation in tropical regions,Reduction in regional rainfall,Extensive deforestation in tropical regions,Reduction in regional rainfall,"{""cause_score"": 1, ""effect_score"": 1}"
row48,1.0,0.5,0.75,Widespread drought conditions,Reduced agricultural productivity along streets participating,Widespread drought conditions,Reduced agricultural productivity,"{""cause_score"": 1, ""effect_score"": 0.5}"
row49,1.0,0.0,0.5,Increased urban heat islands due to construction,acceleration of global sea‑level rise,Increased urban heat islands due to construction,Elevated energy consumption for cooling,"{""cause_score"": 1, ""effect_score"": 0}"
row50,0.0,0.5,0.25,the integration of quantum techniques into practical systems remains a challenging task,cryptographic analysis has been highlighted as a potential beneficiary,Increased adoption of quantum computing algorithms,Enhanced computational speeds for cryptographic analysis,"{""cause_score"": 0, ""effect_score"": 0.5}"
row51,1.0,0.5,0.75,the rise of machine learning models that can detect diseases with increasing accuracy,Healthcare diagnostics are benefiting,Increased use of machine learning in healthcare diagnostics,Improved accuracy in disease detection,"{""cause_score"": 1, ""effect_score"": 0.5}"
row52,0.5,1.0,0.75,as more devices are interconnected,the risk of vulnerabilities in security frameworks continues to be a significant concern for cybersecurity professionals,Widespread adoption of IoT devices,Increased vulnerability to cyberattacks,"{""cause_score"": 0.5, ""effect_score"": 1}"
row53,0.5,0.0,0.25,The shift towards remote work,"a surge in the use of various collaboration technologies,",Growth in remote work technology adoption,Increased demand for cybersecurity solutions,"{""cause_score"": 0.5, ""effect_score"": 0}"
row54,1.0,0.5,0.75,"5G infrastructure promises faster wireless speeds and more reliable connections, with particular focus on reducing latency",the impact of this technology on industries that require minimal communication delays is becoming increasingly evident,Development of 5G infrastructure,Reduced latency in wireless communication,"{""cause_score"": 1, ""effect_score"": 0.5}"
row55,1.0,1.0,1.0,facial recognition technology finds broader application in sectors ranging from security to retail,privacy concerns are also escalating,Increased application of facial recognition technologies,Heightened privacy concerns,"{""cause_score"": 1, ""effect_score"": 1}"
row56,0.0,0.0,0.0,organizations seek to minimize data transmission delays,the movement towards edge computing is gaining momentum,Implementation of edge computing,Reduced data transmission latency,"{""cause_score"": 0, ""effect_score"": 0}"
row57,0.5,1.0,0.75,Autonomous vehicle technology,"reducing human error in driving, potentially lowering traffic accidents",Rise in autonomous vehicle technology adoption,Reduction in traffic accidents,"{""cause_score"": 0.5, ""effect_score"": 1}"
row58,1.0,0.5,0.75,Retailers are increasingly turning to augmented reality (AR) to offer immersive shopping experiences,its potential to drive deeper engagement is a growing topic of interest for marketers and technologists alike,Expanded use of augmented reality in retail,Enhanced customer engagement,"{""cause_score"": 1, ""effect_score"": 0.5}"
row59,1.0,0.0,0.5,"Generative AI tools are gaining ground in content creation, enabling faster production of diverse types of media",concerns about creativity and automation in the arts continue to spark discussions in both technological and creative communities,Adoption of generative AI models,Increased productivity in content creation,"{""cause_score"": 1, ""effect_score"": 0}"
row60,1.0,0.0,0.5,"Blockchain technology is being increasingly applied to enhance transparency in supply chains, allowing for better tracking of goods",The effectiveness of blockchain solutions in addressing issues of inefficiency and fraud remains a key area of interest for logistics experts,Increased use of blockchain in supply chain management,Improved tracking of goods,"{""cause_score"": 1, ""effect_score"": 0}"
row61,0.5,0.0,0.25,Neuromorphic computing is touted as a transformative technology that mimics the brain’s processes to improve AI efficiency,their real-world applications and scalability in complex AI systems are still under exploration,Development of neuromorphic computing chips,Increased efficiency in artificial intelligence processing,"{""cause_score"": 0.5, ""effect_score"": 0}"
row62,0.0,0.0,0.0,logistical and cost challenges,hamper widespread adoption,Expansion of satellite-based internet services,Improved connectivity in rural areas,"{""cause_score"": 0, ""effect_score"": 0}"
row63,1.0,0.0,0.5,Biometric authentication systems are being implemented across various sectors to increase security and streamline user experiences,concerns about data privacy and the long-term implications of biometric data usage are emerging as significant discussion points,Widespread deployment of biometric authentication,Increased user account security,"{""cause_score"": 1, ""effect_score"": 0}"
row64,1.0,1.0,1.0,the advancement of predictive analytics tools,businesses are better equipped to anticipate market shifts and disruptions in the supply chain,Enhanced predictive analytics capabilities,Improved supply chain resilience,"{""cause_score"": 1, ""effect_score"": 1}"
