"id","cause","effect","raw_response"
"row0","Rise in housing market speculation","Increased risk of property price bubbles","{""""cause"""": """"Rise in housing market speculation"""", """"effect"""": """"Increased risk of property price bubbles""""}"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","{""""cause"""": """"Supply chain disruptions due to pandemics"""", """"effect"""": """"Inflationary pressures on consumer goods""""}"
"row2","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","{""""cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""", """"effect"""": """"Increased prices of commodities such as oil""""}"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","{""""cause"""": """"Tightening regulations on cryptocurrency exchanges"""", """"effect"""": """"Reduced market liquidity""""}"
"row5","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row6","enhanced data privacy legislation emerged","the increase in compliance costs for businesses","{""""cause"""": """"enhanced data privacy legislation emerged"""", """"effect"""": """"the increase in compliance costs for businesses""""}"
"row7","adoption of central bank digital currencies (CBDCs)","changes in cash usage, which notably declined","{""""cause"""": """"adoption of central bank digital currencies (CBDCs)"""", """"effect"""": """"changes in cash usage, which notably declined""""}"
"row8","Increased international trade tariffs emerged","Increased prices of commodities such while oil seemed to follow","{""""cause"""": """"Increased international trade tariffs emerged"""", """"effect"""": """"Increased prices of commodities such while oil seemed to follow""""}"
"row9","rising inflation rates","decreased consumer purchasing power","{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","Reduction in government subsidies for renewable energy","Decreased private investment in solar power projects","{""""cause"""": """"Reduction in government subsidies for renewable energy"""", """"effect"""": """"Decreased private investment in solar power projects""""}"
"row11","fintech grew","improved access to credit for small businesses was observed","{""""cause"""": """"fintech grew"""", """"effect"""": """"improved access to credit for small businesses was observed""""}"
"row12","the sudden bankruptcy of major banks","investor confidence appeared to decline","{""""cause"""": """"the sudden bankruptcy of major banks"""", """"effect"""": """"investor confidence appeared to decline""""}"
"row13","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row15","technology and changing consumer behavior","physical bank branches saw a marked decline","{""""cause"""": """"technology and changing consumer behavior"""", """"effect"""": """"physical bank branches saw a marked decline""""}"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","{""""cause"""": """"implementation of carbon taxes"""", """"effect"""": """"increased operational costs for heavy industries""""}"
"row17","the technology","increased accuracy in loan approvals","{""""cause"""": """"the technology"""", """"effect"""": """"increased accuracy in loan approvals""""}"
"row18","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row19","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row20","Central bank raises interest rates","Consumer borrowing decreases","{""""cause"""": """"Central bank raises interest rates"""", """"effect"""": """"Consumer borrowing decreases""""}"
"row21","slowed economic growth","reduction of foreign direct investment","{""""cause"""": """"slowed economic growth"""", """"effect"""": """"reduction of foreign direct investment""""}"
"row22","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row23","banks adjusted to the strengthened regulations","increased administrative overhead appeared","{""""cause"""": """"banks adjusted to the strengthened regulations"""", """"effect"""": """"increased administrative overhead appeared""""}"
"row24","the shift toward digital payment systems accelerated","Physical currency circulation naturally declined","{""""cause"""": """"the shift toward digital payment systems accelerated"""", """"effect"""": """"Physical currency circulation naturally declined""""}"
"row25","Expansion of offshore wind farms in the region","Increased renewable energy production","{""""cause"""": """"Expansion of offshore wind farms in the region"""", """"effect"""": """"Increased renewable energy production""""}"
"row26","Increased desalination plant operations","Increased brine discharge impacting marine ecosystems","{""""cause"""": """"Increased desalination plant operations"""", """"effect"""": """"Increased brine discharge impacting marine ecosystems""""}"
"row27","Adoption of electric vehicles","Reduction in urban air pollution","{""""cause"""": """"Adoption of electric vehicles"""", """"effect"""": """"Reduction in urban air pollution""""}"
