"id","cause","effect","raw_response"
"row0","Rise in housing market speculation","Increased risk of property price bubbles","{""""cause"""": """"Rise in housing market speculation"""", """"effect"""": """"Increased risk of property price bubbles""""}"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","{""""cause"""": """"Supply chain disruptions due to pandemics"""", """"effect"""": """"Inflationary pressures on consumer goods""""}"
"row2","Rise in ESG investing standards","Growth in sustainable investment funds","{""""cause"""": """"Rise in ESG investing standards"""", """"effect"""": """"Growth in sustainable investment funds""""}"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","{""""cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""", """"effect"""": """"Increased prices of commodities such as oil""""}"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","{""""cause"""": """"Tightening regulations on cryptocurrency exchanges"""", """"effect"""": """"Reduced market liquidity""""}"
"row5","remote work policies were widely adopted","corporate real estate expenditures were reduced","{""""cause"""": """"remote work policies were widely adopted"""", """"effect"""": """"corporate real estate expenditures were reduced""""}"
"row6","broader legal shifts","increase in compliance costs for businesses","{""""cause"""": """"broader legal shifts"""", """"effect"""": """"increase in compliance costs for businesses""""}"
"row7","adoption of central bank digital currencies (CBDCs)","decline in cash usage","{""""cause"""": """"adoption of central bank digital currencies (CBDCs)"""", """"effect"""": """"decline in cash usage""""}"
"row8","Increased international trade tariffs","Reduction in import-dependent industries' profitability","{""""cause"""": """"Increased international trade tariffs"""", """"effect"""": """"Reduction in import-dependent industries' profitability""""}"
"row9","rising inflation rates","decreased consumer purchasing power","{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","Reduction in government subsidies for renewable energy","Decreased private investment in solar power projects","{""""cause"""": """"Reduction in government subsidies for renewable energy"""", """"effect"""": """"Decreased private investment in solar power projects""""}"
"row11","fintech grew","improved access to credit for small businesses","{""""cause"""": """"fintech grew"""", """"effect"""": """"improved access to credit for small businesses""""}"
"row12","the sudden bankruptcy of major banks","investor confidence appeared to decline","{""""cause"""": """"the sudden bankruptcy of major banks"""", """"effect"""": """"investor confidence appeared to decline""""}"
"row13","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","{""""cause"""": """"the ongoing rise in remote banking services"""", """"effect"""": """"physical bank branches saw a marked decline""""}"
"row16","implementation of carbon taxes","numerous alternative explanations were proposed","{""""cause"""": """"implementation of carbon taxes"""", """"effect"""": """"numerous alternative explanations were proposed""""}"
"row17","the technology (AI-driven credit scoring)","increased accuracy in loan approvals","{""""cause"""": """"the technology (AI-driven credit scoring)"""", """"effect"""": """"increased accuracy in loan approvals""""}"
"row18","Introduction of algorithmic trading strategies","Increased volatility in financial markets","{""""cause"""": """"Introduction of algorithmic trading strategies"""", """"effect"""": """"Increased volatility in financial markets""""}"
"row19","the use of blockchain","improved transparency in transactions","{""""cause"""": """"the use of blockchain"""", """"effect"""": """"improved transparency in transactions""""}"
"row20","Central bank raises interest rates","Consumer borrowing decreases","{""""cause"""": """"Central bank raises interest rates"""", """"effect"""": """"Consumer borrowing decreases""""}"
"row21","sanctions","reduction of foreign direct investment","{""""cause"""": """"sanctions"""", """"effect"""": """"reduction of foreign direct investment""""}"
"row22","broader industry changes","the rise in corporate mergers and acquisitions","{""""cause"""": """"broader industry changes"""", """"effect"""": """"the rise in corporate mergers and acquisitions""""}"
"row23","the strengthened regulations","increased administrative overhead","{""""cause"""": """"the strengthened regulations"""", """"effect"""": """"increased administrative overhead""""}"
"row24","the shift toward digital payment systems accelerated","Physical currency circulation naturally declined","{""""cause"""": """"the shift toward digital payment systems accelerated"""", """"effect"""": """"Physical currency circulation naturally declined""""}"
"row25","Expansion of offshore wind farms in the region","Increased renewable energy production","{""""cause"""": """"Expansion of offshore wind farms in the region"""", """"effect"""": """"Increased renewable energy production""""}"
