"id","cause","effect","raw_response"
"row0","a variety of factors","the scenario","```json\n{\n  """"cause"""": """"a variety of factors"""",\n  """"effect"""": """"the scenario""""\n}\n```"
"row1","pandemics","the Supply chain disruptions","```json\n{\n  """"cause"""": """"pandemics"""",\n  """"effect"""": """"the Supply chain disruptions""""\n}\n```"
"row2","Historical data","ambiguous insights into the Rise in ESG investing standards","```json\n{\n  """"cause"""": """"Historical data"""",\n  """"effect"""": """"ambiguous insights into the Rise in ESG investing standards""""\n}\n```"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","```json\n{\n  """"cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""",\n  """"effect"""": """"Increased prices of commodities such as oil""""\n}\n```"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","```json\n{\n  """"cause"""": """"Tightening regulations on cryptocurrency exchanges"""",\n  """"effect"""": """"Reduced market liquidity""""\n}\n```"
"row5","reduced corporate real estate expenditures occurred alongside other factors","creating a complex scenario","```json\n{\n  """"cause"""": """"reduced corporate real estate expenditures occurred alongside other factors"""",\n  """"effect"""": """"creating a complex scenario""""\n}\n```"
"row6","enhanced data privacy legislation emerged","the increase in compliance costs for businesses","```json\n{\n  """"cause"""": """"enhanced data privacy legislation emerged"""",\n  """"effect"""": """"the increase in compliance costs for businesses""""\n}\n```"
"row7","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row8","Increased international trade tariffs emerged","Increased prices of commodities such while oil seemed to follow","```json\n{\n  """"cause"""": """"Increased international trade tariffs emerged"""",\n  """"effect"""": """"Increased prices of commodities such while oil seemed to follow""""\n}\n```"
"row9","Many complex variables","decreased consumer purchasing power","```json\n{\n  """"cause"""": """"Many complex variables"""",\n  """"effect"""": """"decreased consumer purchasing power""""\n}\n```"
"row10","Reduction in government subsidies for renewable energy","expressed mixed opinions","```json\n{\n  """"cause"""": """"Reduction in government subsidies for renewable energy"""",\n  """"effect"""": """"expressed mixed opinions""""\n}\n```"
"row11","fintech grew","improved access to credit for small businesses was observed","```json\n{\n  """"cause"""": """"fintech grew"""",\n  """"effect"""": """"improved access to credit for small businesses was observed""""\n}\n```"
"row12","a number of complex and simultaneous events","the overall economic situation was shaped","```json\n{\n  """"cause"""": """"a number of complex and simultaneous events"""",\n  """"effect"""": """"the overall economic situation was shaped""""\n}\n```"
"row13","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row14","a broader conversation about policy and economic factors","Increased household savings rates","```json\n{\n  """"cause"""": """"a broader conversation about policy and economic factors"""",\n  """"effect"""": """"Increased household savings rates""""\n}\n```"
"row15","technology and changing consumer behavior","physical bank branches saw a marked decline","```json\n{\n  """"cause"""": """"technology and changing consumer behavior"""",\n  """"effect"""": """"physical bank branches saw a marked decline""""\n}\n```"
"row16","implementation of carbon taxes occurred","increased operational costs for heavy industries","```json\n{\n  """"cause"""": """"implementation of carbon taxes occurred"""",\n  """"effect"""": """"increased operational costs for heavy industries""""\n}\n```"
"row17","the technology","increased accuracy in loan approvals","```json\n{\n  """"cause"""": """"the technology"""",\n  """"effect"""": """"increased accuracy in loan approvals""""\n}\n```"
"row18","Many factors","Increased volatility in financial markets","```json\n{\n  """"cause"""": """"Many factors"""",\n  """"effect"""": """"Increased volatility in financial markets""""\n}\n```"
"row19","the use of blockchain","improved transparency in transactions","```json\n{\n  """"cause"""": """"the use of blockchain"""",\n  """"effect"""": """"improved transparency in transactions""""\n}\n```"
"row20","Central bank raises interest rates","Consumer borrowing decreases","```json\n{\n  """"cause"""": """"Central bank raises interest rates"""",\n  """"effect"""": """"Consumer borrowing decreases""""\n}\n```"
"row21","sanctions","the reduction of foreign direct investment","```json\n{\n  """"cause"""": """"sanctions"""",\n  """"effect"""": """"the reduction of foreign direct investment""""\n}\n```"
"row22","market competition decreased","The rise in corporate mergers and acquisitions","```json\n{\n  """"cause"""": """"market competition decreased"""",\n  """"effect"""": """"The rise in corporate mergers and acquisitions""""\n}\n```"
"row23","banks adjusted to the strengthened regulations","increased administrative overhead appeared","```json\n{\n  """"cause"""": """"banks adjusted to the strengthened regulations"""",\n  """"effect"""": """"increased administrative overhead appeared""""\n}\n```"
"row24","the shift toward digital payment systems accelerated","Physical currency circulation naturally declined","```json\n{\n  """"cause"""": """"the shift toward digital payment systems accelerated"""",\n  """"effect"""": """"Physical currency circulation naturally declined""""\n}\n```"
