id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,1.0,1.0,1.0,Rise in housing market speculation,Increased risk of property price bubbles,Rise in housing market speculation,Increased risk of property price bubbles,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row1,1.0,1.0,1.0,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row2,1.0,1.0,1.0,Rise in ESG investing standards,Growth in sustainable investment funds,Rise in ESG investing standards,Growth in sustainable investment funds,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row3,0.5,1.0,0.75,Escalation of geopolitical tensions and the broader economic environment,Increased prices of commodities such as oil,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row4,1.0,1.0,1.0,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row5,1.0,1.0,1.0,remote work policies were widely adopted,reduced corporate real estate expenditures occurred,Implementation of remote work policies,Reduced corporate real estate expenditures,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row6,0.5,0.0,0.25,changes in data privacy laws,enhanced data privacy legislation emerged,Enhanced data privacy legislation,Increased compliance costs for businesses,"<think>
{""cause_score"": 0.5, ""effect_score"": 0."
row7,1.0,0.5,0.75,adoption of central bank digital currencies (CBDCs),"cash usage, which notably declined during the same period",Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"<think>
{""cause_score"": 1, ""effect_score"": 0.5}"
row8,1.0,1.0,1.0,Increased international trade tariffs,Reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row10,1.0,1.0,1.0,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row11,1.0,1.0,1.0,fintech grew,improved access to credit for small businesses was observed,Growth of fintech lending platforms,Improved access to credit for small businesses,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row12,1.0,1.0,1.0,the sudden bankruptcy of major banks,investor confidence appeared to decline,Sudden bankruptcy of major banks,Decline in investor confidence,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row14,0.0,0.0,0.0,,,Expansion of financial literacy education,Increased household savings rates,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row16,0.0,0.0,0.0,,,Implementation of carbon taxes,Increased operational costs for heavy industries,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row17,1.0,1.0,1.0,The shift toward AI-driven credit scoring,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
