"id","cause","effect","raw_response"
"row0","central bank raises interest rates","consumer borrowing decreases","{\n    """"cause"""": """"central bank raises interest rates"""",\n    """"effect"""": """"consumer borrowing decreases""""\n}"
"row1","introduction of algorithmic trading strategies","increased volatility in financial markets","{\n    """"cause"""": """"introduction of algorithmic trading strategies"""",\n    """"effect"""": """"increased volatility in financial markets""""\n}"
"row2","tightening regulations on cryptocurrency exchanges","reduced market liquidity","{\n    """"cause"""": """"tightening regulations on cryptocurrency exchanges"""",\n    """"effect"""": """"reduced market liquidity""""\n}"
"row3","increased international trade tariffs","reduction in import-dependent industries' profitability","{\n    """"cause"""": """"increased international trade tariffs"""",\n    """"effect"""": """"reduction in import-dependent industries' profitability""""\n}"
"row4","","","{\n    """"cause"""": """""""",\n    """"effect"""": """"""""\n}"
"row5","shift toward remote work","reduced corporate real estate expenditures","{\n    """"cause"""": """"shift toward remote work"""",\n    """"effect"""": """"reduced corporate real estate expenditures""""\n}"
"row6","enhanced data privacy legislation emerged","increase in compliance costs for businesses","{\n    """"cause"""": """"enhanced data privacy legislation emerged"""",\n    """"effect"""": """"increase in compliance costs for businesses""""\n}"
"row7","adoption of central bank digital currencies (CBDCs)","decline in cash usage","{\n    """"cause"""": """"adoption of central bank digital currencies (CBDCs)"""",\n    """"effect"""": """"decline in cash usage""""\n}"
"row8","escalation of geopolitical tensions","increased prices of commodities such as oil","{\n    """"cause"""": """"escalation of geopolitical tensions"""",\n    """"effect"""": """"increased prices of commodities such as oil""""\n}"
"row9","rising inflation rates","decreased consumer purchasing power","{\n    """"cause"""": """"rising inflation rates"""",\n    """"effect"""": """"decreased consumer purchasing power""""\n}"
"row10","growing focus on financial knowledge","increased household savings rates","{\n    """"cause"""": """"growing focus on financial knowledge"""",\n    """"effect"""": """"increased household savings rates""""\n}"
"row11","rise of fintech lending platforms","improved access to credit for small businesses","{\n    """"cause"""": """"rise of fintech lending platforms"""",\n    """"effect"""": """"improved access to credit for small businesses""""\n}"
"row12","sudden bankruptcy of major banks","investor confidence appeared to decline","{\n    """"cause"""": """"sudden bankruptcy of major banks"""",\n    """"effect"""": """"investor confidence appeared to decline""""\n}"
"row13","","","{\n    """"cause"""": """""""",\n    """"effect"""": """"""""\n}"
"row14","reduction in government subsidies for renewable energy","decreased private investment in solar power projects","{\n    """"cause"""": """"reduction in government subsidies for renewable energy"""",\n    """"effect"""": """"decreased private investment in solar power projects""""\n}"
"row15","ongoing rise in remote banking services","marked decline in physical bank branches","{\n    """"cause"""": """"ongoing rise in remote banking services"""",\n    """"effect"""": """"marked decline in physical bank branches""""\n}"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","{\n    """"cause"""": """"implementation of carbon taxes"""",\n    """"effect"""": """"increased operational costs for heavy industries""""\n}"
"row17","shift toward AI-driven credit scoring","increased accuracy in loan approvals","{\n    """"cause"""": """"shift toward AI-driven credit scoring"""",\n    """"effect"""": """"increased accuracy in loan approvals""""\n}"
"row18","supply chain disruptions amid pandemics","inflationary pressures on consumer goods","{\n    """"cause"""": """"supply chain disruptions amid pandemics"""",\n    """"effect"""": """"inflationary pressures on consumer goods""""\n}"
"row19","improved transparency in transactions","noted as a key feature","{\n    """"cause"""": """"improved transparency in transactions"""",\n    """"effect"""": """"noted as a key feature""""\n}"
"row20","rise in housing market speculation","increased risk of property price bubbles","{\n    """"cause"""": """"rise in housing market speculation"""",\n    """"effect"""": """"increased risk of property price bubbles""""\n}"
"row21","slowed economic growth","reduction of foreign direct investment","{\n    """"cause"""": """"slowed economic growth"""",\n    """"effect"""": """"reduction of foreign direct investment""""\n}"
"row22","","","{\n    """"cause"""": """""""",\n    """"effect"""": """"""""\n}"
"row23","strengthened regulations","increased administrative overhead","{\n    """"cause"""": """"strengthened regulations"""",\n    """"effect"""": """"increased administrative overhead""""\n}"
"row24","shift toward digital payment systems","physical currency circulation declined","{\n    """"cause"""": """"shift toward digital payment systems"""",\n    """"effect"""": """"physical currency circulation declined""""\n}"
"row25","","","{}"
"row26","increased frequency of forest fires","reduction in biodiversity","{\n    """"cause"""": """"increased frequency of forest fires"""",\n    """"effect"""": """"reduction in biodiversity""""\n}"
"row27","rapid expansion of urban areas","loss of wetlands","{\n    """"cause"""": """"rapid expansion of urban areas"""",\n    """"effect"""": """"loss of wetlands""""\n}"
"row28","rapid ocean acidification","decreased coral reef resilience","{\n    """"cause"""": """"rapid ocean acidification"""",\n    """"effect"""": """"decreased coral reef resilience""""\n}"
"row29","adoption of regenerative agriculture practices","increased soil carbon sequestration","{\n    """"cause"""": """"adoption of regenerative agriculture practices"""",\n    """"effect"""": """"increased soil carbon sequestration""""\n}"
"row30","extensive deforestation in tropical regions","reduction in regional rainfall","{\n    """"cause"""": """"extensive deforestation in tropical regions"""",\n    """"effect"""": """"reduction in regional rainfall""""\n}"
