"id","cause","effect","raw_response"
"row0","Rise in housing market speculation","Increased risk of property price bubbles","{""""cause"""": """"Rise in housing market speculation"""", """"effect"""": """"Increased risk of property price bubbles""""}"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","{""""cause"""": """"Supply chain disruptions due to pandemics"""", """"effect"""": """"Inflationary pressures on consumer goods""""}"
"row2","Rise in ESG investing standards","Growth in sustainable investment funds","{""""cause"""": """"Rise in ESG investing standards"""", """"effect"""": """"Growth in sustainable investment funds""""}"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","{""""cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""", """"effect"""": """"Increased prices of commodities such as oil""""}"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","{""""cause"""": """"Tightening regulations on cryptocurrency exchanges"""", """"effect"""": """"Reduced market liquidity""""}"
"row5","remote work policies were widely adopted","reduced corporate real estate expenditures occurred","{""""cause"""": """"remote work policies were widely adopted"""", """"effect"""": """"reduced corporate real estate expenditures occurred""""}"
"row6","changes in data privacy laws","enhanced data privacy legislation emerged","{""""cause"""": """"changes in data privacy laws"""", """"effect"""": """"enhanced data privacy legislation emerged""""}"
"row7","adoption of central bank digital currencies (CBDCs)","cash usage, which notably declined during the same period","{""""cause"""": """"adoption of central bank digital currencies (CBDCs)"""", """"effect"""": """"cash usage, which notably declined during the same period""""}"
"row8","Increased international trade tariffs","Reduction in import-dependent industries' profitability","{""""cause"""": """"Increased international trade tariffs"""", """"effect"""": """"Reduction in import-dependent industries' profitability""""}"
"row9","rising inflation rates","decreased consumer purchasing power","{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","Reduction in government subsidies for renewable energy","Decreased private investment in solar power projects","{""""cause"""": """"Reduction in government subsidies for renewable energy"""", """"effect"""": """"Decreased private investment in solar power projects""""}"
"row11","fintech grew","improved access to credit for small businesses was observed","{""""cause"""": """"fintech grew"""", """"effect"""": """"improved access to credit for small businesses was observed""""}"
"row12","the sudden bankruptcy of major banks","investor confidence appeared to decline","{""""cause"""": """"the sudden bankruptcy of major banks"""", """"effect"""": """"investor confidence appeared to decline""""}"
"row13","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","{""""cause"""": """"the ongoing rise in remote banking services"""", """"effect"""": """"physical bank branches saw a marked decline""""}"
"row16","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row17","The shift toward AI-driven credit scoring","increased accuracy in loan approvals","{""""cause"""": """"The shift toward AI-driven credit scoring"""", """"effect"""": """"increased accuracy in loan approvals""""}"
"row18","Introduction of algorithmic trading strategies","Increased volatility in financial markets","{""""cause"""": """"Introduction of algorithmic trading strategies"""", """"effect"""": """"Increased volatility in financial markets""""}"
"row19","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row20","Central bank raises interest rates","Consumer borrowing decreases","{""""cause"""": """"Central bank raises interest rates"""", """"effect"""": """"Consumer borrowing decreases""""}"
"row21","sanctions","reduction of foreign direct investment","{""""cause"""": """"sanctions"""", """"effect"""": """"reduction of foreign direct investment""""}"
"row22","The rise in corporate mergers and acquisitions","market competition decreased","{""""cause"""": """"The rise in corporate mergers and acquisitions"""", """"effect"""": """"market competition decreased""""}"
"row23","strengthened regulations","increased administrative overhead","{""""cause"""": """"strengthened regulations"""", """"effect"""": """"increased administrative overhead""""}"
"row24","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row25","Increased renewable energy production","Expansion of offshore wind farms in the region","{""""cause"""": """"Increased renewable energy production"""", """"effect"""": """"Expansion of offshore wind farms in the region""""}"
"row26","Increased desalination plant operations","Increased brine discharge impacting marine ecosystems","{""""cause"""": """"Increased desalination plant operations"""", """"effect"""": """"Increased brine discharge impacting marine ecosystems""""}"
