id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,0.5,1.0,0.75,a variety of factors,Increased risk of property price bubbles,Rise in housing market speculation,Increased risk of property price bubbles,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row1,0.5,0.0,0.25,pandemics,Supply chain disruptions,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"<think>
{""cause_score"": 0.5, ""effect_score"": 0}"
row2,1.0,1.0,1.0,Rise in ESG investing standards,Growth in sustainable investment funds,Rise in ESG investing standards,Growth in sustainable investment funds,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row3,0.5,0.5,0.5,Escalation of geopolitical tensions and the broader economic environment,Increased prices of commodities such as oil seemed to fit within these shifts,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"<think>
{""cause_score"": 0.5, ""effect_score"": 0.5}"
row4,0.5,0.0,0.25,the Tightening regulations on cryptocurrency exchanges caught attention,Numerous alternative explanations were proposed,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"<think>
{""cause_score"": 0.5, ""effect_score"": 0}"
row5,0.5,0.0,0.25,reduced corporate real estate expenditures occurred alongside other factors,creating a complex scenario,Implementation of remote work policies,Reduced corporate real estate expenditures,"<think>
{""cause_score"": 0.5, ""effect_score"": 0}"
row6,0.5,1.0,0.75,broader legal shifts,the increase in compliance costs for businesses,Enhanced data privacy legislation,Increased compliance costs for businesses,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row7,0.0,0.0,0.0,,,Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row8,1.0,1.0,1.0,Increased international trade tariffs emerged,Reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row10,0.0,1.0,0.5,The growing focus on financial knowledge,Decreased private investment in solar power projects,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"<think>
{""cause_score"": 0, ""effect_score"": 1}"
row11,0.5,1.0,0.75,fintech grew,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row12,0.5,0.5,0.5,a number of complex and simultaneous events,the overall economic situation was shaped,Sudden bankruptcy of major banks,Decline in investor confidence,"<think>
{""cause_score"": 0.5, ""effect_score"": 0.5}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row14,0.5,1.0,0.75,a broader conversation about policy and economic factors,Increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row16,1.0,0.0,0.5,implementation of carbon taxes occurred,Numerous alternative explanations were proposed,Implementation of carbon taxes,Increased operational costs for heavy industries,"<think>
{""cause_score"": 1, ""effect_score"": 0}"
row17,0.5,1.0,0.75,the technology,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row18,1.0,1.0,1.0,Introduction of algorithmic trading strategies,Increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row19,0.5,1.0,0.75,the use of blockchain,improved transparency in transactions,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row20,1.0,1.0,1.0,Central bank raises interest rates,Consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row21,0.5,0.5,0.5,sanctions,the reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"<think>
{""cause_score"": 0.5, ""effect_score"": 0.5}"
row22,0.0,0.0,0.0,,,Increased corporate mergers and acquisitions,Reduction in market competition,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row23,0.5,1.0,0.75,these legal adjustments,increased administrative overhead appeared,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
