"id","cause","effect","raw_response"
"row0","rise in housing market speculation","increased risk of property price bubbles","{""""cause"""": """"rise in housing market speculation"""", """"effect"""": """"increased risk of property price bubbles""""}"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","{""""cause"""": """"Supply chain disruptions due to pandemics"""", """"effect"""": """"Inflationary pressures on consumer goods""""}"
"row2","Rise in ESG investing standards","Growth in sustainable investment funds","{""""cause"""": """"Rise in ESG investing standards"""", """"effect"""": """"Growth in sustainable investment funds""""}"
"row3","Escalation of geopolitical tensions","Increased prices of commodities such as oil","{""""cause"""": """"Escalation of geopolitical tensions"""", """"effect"""": """"Increased prices of commodities such as oil""""}"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","{""""cause"""": """"Tightening regulations on cryptocurrency exchanges"""", """"effect"""": """"Reduced market liquidity""""}"
"row5","remote work policies were widely adopted","reduced corporate real estate expenditures occurred","{""""cause"""": """"remote work policies were widely adopted"""", """"effect"""": """"reduced corporate real estate expenditures occurred""""}"
"row6","enhanced data privacy legislation emerged","increase in compliance costs for businesses","{""""cause"""": """"enhanced data privacy legislation emerged"""", """"effect"""": """"increase in compliance costs for businesses""""}"
"row7","adoption of central bank digital currencies (CBDCs)","cash usage notably declined","{""""cause"""":""""adoption of central bank digital currencies (CBDCs)"""",""""effect"""":""""cash usage notably declined""""}"
"row8","Increased international trade tariffs","increased prices of commodities such as oil","{""""cause"""": """"Increased international trade tariffs"""", """"effect"""": """"increased prices of commodities such as oil""""}"
"row9","rising inflation rates","decreased consumer purchasing power","{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","Reduction in government subsidies for renewable energy","Decreased private investment in solar power projects","{""""cause"""": """"Reduction in government subsidies for renewable energy"""", """"effect"""": """"Decreased private investment in solar power projects""""}"
"row11","growth of fintech lending platforms","improved access to credit for small businesses","{""""cause"""": """"growth of fintech lending platforms"""", """"effect"""": """"improved access to credit for small businesses""""}"
"row12","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row13","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","Expansion of financial literacy education","Increased household savings rates","{""""cause"""": """"Expansion of financial literacy education"""", """"effect"""": """"Increased household savings rates""""}"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","{""""cause"""": """"the ongoing rise in remote banking services"""", """"effect"""": """"physical bank branches saw a marked decline""""}"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","{""""cause"""": """"implementation of carbon taxes"""", """"effect"""": """"increased operational costs for heavy industries""""}"
"row17","AI-driven credit scoring technology","increased accuracy in loan approvals","{""""cause"""": """"AI-driven credit scoring technology"""", """"effect"""": """"increased accuracy in loan approvals""""}"
"row18","supply chain disruptions amid pandemics","increased volatility in financial markets","{""""cause"""": """"supply chain disruptions amid pandemics"""", """"effect"""": """"increased volatility in financial markets""""}"
"row19","use of blockchain","improved transparency in transactions","{""""cause"""": """"use of blockchain"""", """"effect"""": """"improved transparency in transactions""""}"
"row20","Central bank raises interest rates","Consumer borrowing decreases","{""""cause"""": """"Central bank raises interest rates"""", """"effect"""": """"Consumer borrowing decreases""""}"
"row21","sanctions","reduction of foreign direct investment","{""""cause"""": """"sanctions"""", """"effect"""": """"reduction of foreign direct investment""""}"
"row22","broader industry changes","rise in corporate mergers and acquisitions","{""""cause"""": """"broader industry changes"""", """"effect"""": """"rise in corporate mergers and acquisitions""""}"
"row23","growing complexity in anti-money laundering policies","increased administrative overhead","{""""cause"""": """"growing complexity in anti-money laundering policies"""", """"effect"""": """"increased administrative overhead""""}"
"row24","the shift toward digital payment systems accelerated","physical currency circulation naturally declined","{""""cause"""": """"the shift toward digital payment systems accelerated"""", """"effect"""": """"physical currency circulation naturally declined""""}"
"row25","Expansion of offshore wind farms in the region","Increased renewable energy production","{""""cause"""": """"Expansion of offshore wind farms in the region"""", """"effect"""": """"Increased renewable energy production""""}"
