"id","cause","effect","raw_response"
"row0","central bank raises interest rates","consumer borrowing decreases","```json\n{\n  """"cause"""": """"central bank raises interest rates"""",\n  """"effect"""": """"consumer borrowing decreases""""\n}\n```"
"row1","the introduction of algorithmic trading strategies","increased volatility in financial markets","```json\n{\n  """"cause"""": """"the introduction of algorithmic trading strategies"""",\n  """"effect"""": """"increased volatility in financial markets""""\n}\n```"
"row2","the tightening regulations on cryptocurrency exchanges","reduced market liquidity","```json\n{\n  """"cause"""": """"the tightening regulations on cryptocurrency exchanges"""",\n  """"effect"""": """"reduced market liquidity""""\n}\n```"
"row3","increased international trade tariffs and the broader economic environment","reduction in import-dependent industries' profitability","```json\n{\n  """"cause"""": """"increased international trade tariffs and the broader economic environment"""",\n  """"effect"""": """"reduction in import-dependent industries' profitability""""\n}\n```"
"row4","the rise in ESG investing standards","caught attention","```json\n{\n  """"cause"""": """"the rise in ESG investing standards"""",\n  """"effect"""": """"caught attention""""\n}\n```"
"row5","remote work policies were widely adopted","reduced corporate real estate expenditures occurred","```json\n{\n  """"cause"""": """"remote work policies were widely adopted"""",\n  """"effect"""": """"reduced corporate real estate expenditures occurred""""\n}\n```"
"row6","enhanced data privacy legislation emerged","the increase in compliance costs for businesses","```json\n{\n  """"cause"""": """"enhanced data privacy legislation emerged"""",\n  """"effect"""": """"the increase in compliance costs for businesses""""\n}\n```"
"row7","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row8","escalation of geopolitical tensions emerged","Increased prices of commodities such while oil seemed to follow","```json\n{\n  """"cause"""": """"escalation of geopolitical tensions emerged"""",\n  """"effect"""": """"Increased prices of commodities such while oil seemed to follow""""\n}\n```"
"row9","Many complex variables","decreased consumer purchasing power","```json\n{\n  """"cause"""": """"Many complex variables"""",\n  """"effect"""": """"decreased consumer purchasing power""""\n}\n```"
"row10","The growing focus on financial knowledge","increased household savings rates","```json\n{\n  """"cause"""": """"The growing focus on financial knowledge"""",\n  """"effect"""": """"increased household savings rates""""\n}\n```"
"row11","fintech grew","improved access to credit for small businesses was observed","```json\n{\n  """"cause"""": """"fintech grew"""",\n  """"effect"""": """"improved access to credit for small businesses was observed""""\n}\n```"
"row12","a number of complex and simultaneous events","the overall economic situation was shaped","```json\n{\n  """"cause"""": """"a number of complex and simultaneous events"""",\n  """"effect"""": """"the overall economic situation was shaped""""\n}\n```"
"row13","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row14","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row15","technology","the ongoing rise in remote banking services","```json\n{\n  """"cause"""": """"technology"""",\n  """"effect"""": """"the ongoing rise in remote banking services""""\n}\n```"
"row16","implementation of carbon taxes occurred","Numerous alternative explanations were proposed","```json\n{\n  """"cause"""": """"implementation of carbon taxes occurred"""",\n  """"effect"""": """"Numerous alternative explanations were proposed""""\n}\n```"
"row17","the technology","increased accuracy in loan approvals","```json\n{\n  """"cause"""": """"the technology"""",\n  """"effect"""": """"increased accuracy in loan approvals""""\n}\n```"
"row18","Many factors","these economic changes","```json\n{\n  """"cause"""": """"Many factors"""",\n  """"effect"""": """"these economic changes""""\n}\n```"
"row19","a key feature","improved transparency in transactions was noted","```json\n{\n  """"cause"""": """"a key feature"""",\n  """"effect"""": """"improved transparency in transactions was noted""""\n}\n```"
