"id","cause","effect","raw_response"
"row0","","",""
"row1","","",""
"row2","","",""
"row3","","",""
"row4","","",""
"row5","","",""
"row6","","",""
"row7","","",""
"row8","","",""
"row9","","",""
"row10","","",""
"row11","","",""
"row12","","",""
"row13","","",""
"row14","","",""
"row15","the ongoing rise in remote banking services","","{""""cause"""": """"the ongoing rise in remote banking services"""","
"row16","","",""
"row17","","",""
"row18","","",""
"row19","","",""
"row20","","",""
"row21","","",""
"row22","","",""
"row23","","",""
"row24","","",""
"row25","","","{}"
"row26","","",""
"row27","","",""
"row28","","",""
"row29","adoption","","{""""cause"""": """"adoption"
"row30","","",""
"row31","","",""
"row32","","",""
"row33","","",""
"row34","","",""
"row35","implementation","","{""""cause"""": """"implementation"
"row36","","",""
"row37","","",""
"row38","","",""
"row39","","",""
"row40","","",""
"row41","","",""
"row42","","",""
"row43","","",""
"row44","","",""
"row45","adoption of stringent emissions regulations","","{""""cause"""": """"adoption of stringent emissions regulations"""", """"effect"""": """""
"row46","","",""
"row47","","",""
"row48","","",""
"row49","implementation of urban tree planting programs","mitigation of urban air pollution","{""""cause"""": """"implementation of urban tree planting programs"""", """"effect"""": """"mitigation of urban air pollution""""}"
"row50","rapid melting of Antarctic","","{""""cause"""": """"rapid melting of Antarctic"
"row51","","","{}"
"row52","","",""
"row53","","",""
"row54","","",""
"row55","","",""
"row56","","",""
"row57","","",""
"row58","","",""
"row59","","",""
"row60","","",""
"row61","","",""
"row62","","",""
"row63","","",""
"row64","","",""
"row65","","",""
"row66","","",""
"row67","","",""
"row68","Regulatory pressures on social media platforms","calls for more transparent content moderation practices","{""""cause"""": """"Regulatory pressures on social media platforms"""", """"effect"""": """"calls for more transparent content moderation practices""""}"
"row69","","",""
"row70","","",""
"row71","","",""
"row72","","",""
"row73","","",""
"row74","","",""
"row75","their adoption grows","companies are","{""""cause"""": """"their adoption grows"""", """"effect"""": """"companies are"
"row76","","",""
