"id","cause","effect","raw_response"
"row0","central bank raises interest rates","consumer borrowing decreases","```json\n{\n  """"cause"""": """"central bank raises interest rates"""",\n  """"effect"""": """"consumer borrowing decreases""""\n}\n```"
"row1","the introduction of algorithmic trading strategies emerged","increased volatility in financial markets occurring","```json\n{\n  """"cause"""": """"the introduction of algorithmic trading strategies emerged"""",\n  """"effect"""": """"increased volatility in financial markets occurring""""\n}\n```"
"row2","tightening regulations on cryptocurrency exchanges","reduced market liquidity","```json\n{\n  """"cause"""": """"tightening regulations on cryptocurrency exchanges"""",\n  """"effect"""": """"reduced market liquidity""""\n}\n```"
"row3","increased international trade tariffs and the broader economic environment","reduction in import-dependent industries' profitability","```json\n{\n  """"cause"""": """"increased international trade tariffs and the broader economic environment"""",\n  """"effect"""": """"reduction in import-dependent industries' profitability""""\n}\n```"
"row4","the rise in ESG investing standards","Numerous alternative explanations were proposed","```json\n{\n  """"cause"""": """"the rise in ESG investing standards"""",\n  """"effect"""": """"Numerous alternative explanations were proposed""""\n}\n```"
"row5","reduced corporate real estate expenditures","","```json\n{\n  """"cause"""": """"reduced corporate real estate expenditures"""",\n  """"effect"""": """"""""\n}\n```"
"row6","the increase in compliance costs for businesses","enhanced data privacy legislation emerged","```json\n{\n  """"cause"""": """"the increase in compliance costs for businesses"""",\n  """"effect"""": """"enhanced data privacy legislation emerged""""\n}\n```"
"row7","adoption of central bank digital currencies (CBDCs)","changes in cash usage, which notably declined","```json\n{\n  """"cause"""": """"adoption of central bank digital currencies (CBDCs)"""",\n  """"effect"""": """"changes in cash usage, which notably declined""""\n}\n```"
"row8","escalation of geopolitical tensions","increased prices of commodities such while oil","```json\n{\n  """"cause"""": """"escalation of geopolitical tensions"""",\n  """"effect"""": """"increased prices of commodities such while oil""""\n}\n```"
"row9","rising inflation rates surfacing","decreased consumer purchasing power emerged","```json\n{\n  """"cause"""": """"rising inflation rates surfacing"""",\n  """"effect"""": """"decreased consumer purchasing power emerged""""\n}\n```"
"row10","the growing focus on financial knowledge","increased household savings rates","```json\n{\n  """"cause"""": """"the growing focus on financial knowledge"""",\n  """"effect"""": """"increased household savings rates""""\n}\n```"
"row11","improved access to credit for small businesses","fintech grew","```json\n{\n  """"cause"""": """"improved access to credit for small businesses"""",\n  """"effect"""": """"fintech grew""""\n}\n```"
"row12","the sudden bankruptcy of major banks","the overall economic situation was shaped by a number of complex and simultaneous events","```json\n{\n  """"cause"""": """"the sudden bankruptcy of major banks"""",\n  """"effect"""": """"the overall economic situation was shaped by a number of complex and simultaneous events""""\n}\n```"
"row13","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row14","a reduction in government subsidies for renewable energy","decreased private investment in solar power projects","```json\n{\n  """"cause"""": """"a reduction in government subsidies for renewable energy"""",\n  """"effect"""": """"decreased private investment in solar power projects""""\n}\n```"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","```json\n{\n  """"cause"""": """"the ongoing rise in remote banking services"""",\n  """"effect"""": """"physical bank branches saw a marked decline""""\n}\n```"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","```json\n{\n  """"cause"""": """"implementation of carbon taxes"""",\n  """"effect"""": """"increased operational costs for heavy industries""""\n}\n```"
"row17","the shift toward AI-driven credit scoring","increased accuracy in loan approvals","```json\n{\n  """"cause"""": """"the shift toward AI-driven credit scoring"""",\n  """"effect"""": """"increased accuracy in loan approvals""""\n}\n```"
"row18","","inflationary pressures on consumer goods were observed","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"inflationary pressures on consumer goods were observed""""\n}\n```"
"row19","improved transparency in transactions","a key feature","```json\n{\n  """"cause"""": """"improved transparency in transactions"""",\n  """"effect"""": """"a key feature""""\n}\n```"
"row20","rise in housing market speculation","increased risk of property price bubbles","```json\n{\n  """"cause"""": """"rise in housing market speculation"""",\n  """"effect"""": """"increased risk of property price bubbles""""\n}\n```"
"row21","sanctions","reduction of foreign direct investment","```json\n{\n  """"cause"""": """"sanctions"""",\n  """"effect"""": """"reduction of foreign direct investment""""\n}\n```"
"row22","","","```json\n{\n  """"cause"""": """""""",\n  """"effect"""": """"""""\n}\n```"
"row23","growing complexity in anti-money laundering policies","increased administrative overhead appeared","```json\n{\n  """"cause"""": """"growing complexity in anti-money laundering policies"""",\n  """"effect"""": """"increased administrative overhead appeared""""\n}\n```"
"row24","the shift toward digital payment systems accelerated","Physical currency circulation naturally declined","```json\n{\n  """"cause"""": """"the shift toward digital payment systems accelerated"""",\n  """"effect"""": """"Physical currency circulation naturally declined""""\n}\n```"
"row25","","","{}"
"row26","increased frequency of forest fires","reduction in biodiversity","```json\n{\n  """"cause"""": """"increased frequency of forest fires"""",\n  """"effect"""": """"reduction in biodiversity""""\n}\n```"
"row27","rapid expansion of urban areas","loss of wetlands","```json\n{\n  """"cause"""": """"rapid expansion of urban areas"""",\n  """"effect"""": """"loss of wetlands""""\n}\n```"
"row28","rapid ocean acidification","decreased coral reef resilience","```json\n{\n  """"cause"""": """"rapid ocean acidification"""",\n  """"effect"""": """"decreased coral reef resilience""""\n}\n```"
"row29","adoption of regenerative agriculture practices","increased soil carbon sequestration","```json\n{\n  """"cause"""": """"adoption of regenerative agriculture practices"""",\n  """"effect"""": """"increased soil carbon sequestration""""\n}\n```"
"row30","extensive deforestation in tropical regions","a reduction in regional rainfall","```json\n{\n  """"cause"""": """"extensive deforestation in tropical regions"""",\n  """"effect"""": """"a reduction in regional rainfall""""\n}\n```"
"row31","elevated currents of increased microplastic pollution","A decline in marine life populations","```json\n{\n  """"cause"""": """"elevated currents of increased microplastic pollution"""",\n  """"effect"""": """"A decline in marine life populations""""\n}\n```"
