"id","cause","effect","raw_response"
"row0","central bank raises interest rates","consumer borrowing decreases","<think>\n{""""cause"""": """"central bank raises interest rates"""", """"effect"""": """"consumer borrowing decreases""""}"
"row1","the introduction of algorithmic trading strategies","increased volatility in financial markets","<think>\n{""""cause"""": """"the introduction of algorithmic trading strategies"""", """"effect"""": """"increased volatility in financial markets""""}"
"row2","tightening regulations on cryptocurrency exchanges","reduced market liquidity","<think>\n[\n{\n  """"cause"""": """"tightening regulations on cryptocurrency exchanges"""",\n  """"effect"""": """"reduced market liquidity""""\n}\n]"
"row3","increased international trade tariffs and the broader economic environment","reduction in import-dependent industries' profitability","<think>\n{""""cause"""": """"increased international trade tariffs and the broader economic environment"""", """"effect"""": """"reduction in import-dependent industries' profitability""""}"
"row4","growth in sustainable investment funds","rise in ESG investing standards","<think>\n[\n  {\n    """"cause"""": """"growth in sustainable investment funds"""",\n    """"effect"""": """"rise in ESG investing standards""""\n  }\n]"
"row5","remote work policies were widely adopted","reduced corporate real estate expenditures","<think>\n{""""cause"""": """"remote work policies were widely adopted"""", """"effect"""": """"reduced corporate real estate expenditures""""}"
"row6","enhanced data privacy legislation","increase in compliance costs for businesses","<think>\n{""""cause"""": """"enhanced data privacy legislation"""", """"effect"""": """"increase in compliance costs for businesses""""}"
"row7","adoption of central bank digital currencies (CBDCs) occurred alongside broader financial trends","changes in cash usage, which notably declined during the same period","<think>\n{""""cause"""": """"adoption of central bank digital currencies (CBDCs) occurred alongside broader financial trends"""", """"effect"""": """"changes in cash usage, which notably declined during the same period""""}"
"row8","escalation of geopolitical tensions","Increased prices of commodities such while oil","<think>\n{""""cause"""": """"escalation of geopolitical tensions"""", """"effect"""": """"Increased prices of commodities such while oil""""}"
"row9","rising inflation rates","decreased consumer purchasing power","<think>\n{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","the growing focus on financial knowledge","increased household savings rates","<think>\n{""""cause"""": """"the growing focus on financial knowledge"""", """"effect"""": """"increased household savings rates""""}"
"row11","the rise of fintech lending platforms","improved access to credit for small businesses","<think>\n{""""cause"""": """"the rise of fintech lending platforms"""", """"effect"""": """"improved access to credit for small businesses""""}"
"row12","the sudden bankruptcy of major banks","investor confidence appeared to decline","<think>\n{""""cause"""": """"the sudden bankruptcy of major banks"""", """"effect"""": """"investor confidence appeared to decline""""}"
"row13","","","<think>\n{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","reduction in government subsidies for renewable energy","decreased private investment in solar power projects","<think>\n{""""cause"""": """"reduction in government subsidies for renewable energy"""", """"effect"""": """"decreased private investment in solar power projects""""}"
"row15","the ongoing rise in remote banking services","physical bank branches saw a marked decline","<think>\n{""""cause"""": """"the ongoing rise in remote banking services"""", """"effect"""": """"physical bank branches saw a marked decline""""}"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","<think>\n{""""cause"""": """"implementation of carbon taxes"""", """"effect"""": """"increased operational costs for heavy industries""""}"
"row17","the technology was linked to increased accuracy in loan approvals","the shift toward AI-driven credit scoring gained attention","<think>\n{""""cause"""": """"the technology was linked to increased accuracy in loan approvals"""", """"effect"""": """"the shift toward AI-driven credit scoring gained attention""""}"
"row18","supply chain disruptions amid pandemics","inflationary pressures on consumer goods","<think>\n{""""cause"""": """"supply chain disruptions amid pandemics"""", """"effect"""": """"inflationary pressures on consumer goods""""}"
"row19","the use of blockchain","improved transparency in transactions","<think>\n{""""cause"""": """"the use of blockchain"""", """"effect"""": """"improved transparency in transactions""""}"
"row20","rise in housing market speculation","increased risk of property price bubbles","<think>\n{""""cause"""": """"rise in housing market speculation"""", """"effect"""": """"increased risk of property price bubbles""""}"
"row21","sanctions, slowed economic growth","reduction of foreign direct investment","<think>\n{""""cause"""": """"sanctions, slowed economic growth"""", """"effect"""": """"reduction of foreign direct investment""""}"
"row22","corporate mergers and acquisitions","market competition decreased","<think>\n{""""cause"""": """"corporate mergers and acquisitions"""", """"effect"""": """"market competition decreased""""}"
"row23","strengthened regulations","increased administrative overhead","<think>\n{""""cause"""": """"strengthened regulations"""", """"effect"""": """"increased administrative overhead""""}"
