id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,0.0,0.5,0.25,As market analysts noticed an unusual pattern,the financial sector experienced shifts,Rise in housing market speculation,Increased risk of property price bubbles,"```json
{""cause_score"": 0, ""effect_score"": 0.5}
```"
row1,1.0,1.0,1.0,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods occurring amid these complex dynamics,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row2,0.0,0.0,0.0,,,Rise in ESG investing standards,Growth in sustainable investment funds,"{""cause_score"": 0, ""effect_score"": 0}"
row3,0.5,1.0,0.75,Escalation of geopolitical tensions and the broader economic environment,Increased prices of commodities such as oil seemed to fit within these shifts,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row4,0.5,0.5,0.5,Tightening regulations on cryptocurrency exchanges caught attention,Reduced market liquidity appeared amid these developments,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"```json
{""cause_score"": 0.5, ""effect_score"": 0.5}
```"
row5,0.5,1.0,0.75,the shift toward remote work,reduced corporate real estate expenditures,Implementation of remote work policies,Reduced corporate real estate expenditures,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row6,0.5,0.0,0.25,acknowledged changes in data privacy laws,enhanced data privacy legislation emerged,Enhanced data privacy legislation,Increased compliance costs for businesses,"```json
{""cause_score"": 0.5, ""effect_score"": 0.0}
```"
row7,1.0,0.0,0.5,adoption of central bank digital currencies (CBDCs) occurred alongside broader financial trends,a shift,Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"```json
{""cause_score"": 1.0, ""effect_score"": 0.0}
```"
row8,1.0,1.0,1.0,Increased international trade tariffs emerged,Reduction in import-dependent industries' profitability seemed to follow,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"{""cause_score"": 1.0, ""effect_score"": 1.0}"
row10,1.0,0.0,0.5,Reduction in government subsidies for renewable energy,expressed mixed opinions,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"```json
{""cause_score"": 1.0, ""effect_score"": 0.0}
```"
row11,0.5,1.0,0.75,fintech grew,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row12,0.0,0.0,0.0,,,Sudden bankruptcy of major banks,Decline in investor confidence,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"{""cause_score"": 0, ""effect_score"": 0}"
row14,0.0,0.0,0.0,,,Expansion of financial literacy education,Increased household savings rates,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row16,1.0,0.0,0.5,implementation of carbon taxes,numerous alternative explanations were proposed,Implementation of carbon taxes,Increased operational costs for heavy industries,"```json
{""cause_score"": 1.0, ""effect_score"": 0.0}
```"
row17,1.0,1.0,1.0,The shift toward AI-driven credit scoring,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row18,1.0,1.0,1.0,Introduction of algorithmic trading strategies,Increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row19,0.0,0.0,0.0,,,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row20,1.0,1.0,1.0,Central bank raises interest rates,Consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row21,0.0,0.0,0.0,sanctions played a role,reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"```json
{""cause_score"": 0.0, ""effect_score"": 0.0}
```"
row22,0.0,0.0,0.0,,,Increased corporate mergers and acquisitions,Reduction in market competition,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row23,0.5,0.5,0.5,strengthened regulations,increased administrative overhead,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"```json
{""cause_score"": 0.5, ""effect_score"": 0.5}
```"
row24,1.0,0.0,0.5,the shift toward digital payment systems accelerated,Numerous factors seemed to converge,Shift towards digital payment systems,Reduced circulation of physical currency,"```json
{""cause_score"": 1.0, ""effect_score"": 0.0}
```"
