id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,1.0,1.0,1.0,central bank raises interest rates,consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"{""cause_score"": 1, ""effect_score"": 1}"
row1,1.0,1.0,1.0,the introduction of algorithmic trading strategies,increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"{""cause_score"": 1, ""effect_score"": 1}"
row2,1.0,1.0,1.0,tightening regulations on cryptocurrency exchanges,reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"{""cause_score"": 1, ""effect_score"": 1}"
row3,0.5,1.0,0.75,increased international trade tariffs and the broader economic environment,reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"{""cause_score"": 0.5, ""effect_score"": 1}"
row4,0.0,0.0,0.0,growth in sustainable investment funds,rise in ESG investing standards,Rise in ESG investing standards,Growth in sustainable investment funds,"{""cause_score"": 0, ""effect_score"": 0}"
row5,1.0,1.0,1.0,remote work policies were widely adopted,reduced corporate real estate expenditures,Implementation of remote work policies,Reduced corporate real estate expenditures,"{""cause_score"": 1, ""effect_score"": 1}"
row6,1.0,1.0,1.0,enhanced data privacy legislation,increase in compliance costs for businesses,Enhanced data privacy legislation,Increased compliance costs for businesses,"{""cause_score"": 1, ""effect_score"": 1}"
row7,1.0,1.0,1.0,adoption of central bank digital currencies (CBDCs) occurred alongside broader financial trends,"changes in cash usage, which notably declined during the same period",Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"{""cause_score"": 1, ""effect_score"": 1}"
row8,1.0,1.0,1.0,escalation of geopolitical tensions,Increased prices of commodities such while oil,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"{""cause_score"": 1, ""effect_score"": 1}"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"{""cause_score"": 1, ""effect_score"": 1}"
row10,0.5,1.0,0.75,the growing focus on financial knowledge,increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"{""cause_score"": 0.5, ""effect_score"": 1}"
row11,1.0,1.0,1.0,the rise of fintech lending platforms,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"{""cause_score"": 1, ""effect_score"": 1}"
row12,1.0,1.0,1.0,the sudden bankruptcy of major banks,investor confidence appeared to decline,Sudden bankruptcy of major banks,Decline in investor confidence,"{""cause_score"": 1, ""effect_score"": 1}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"{""cause_score"": 0, ""effect_score"": 0}"
