id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,0.5,0.5,0.5,market analysts noticed an unusual pattern,the financial sector experienced shifts,Rise in housing market speculation,Increased risk of property price bubbles,"{""cause_score"": 0.5, ""effect_score"": 0.5}"
row1,1.0,1.0,1.0,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"{""cause_score"": 1, ""effect_score"": 1}"
row2,0.0,0.0,0.0,,,Rise in ESG investing standards,Growth in sustainable investment funds,"{""cause_score"": 0, ""effect_score"": 0}"
row3,0.5,0.0,0.25,Escalation of geopolitical tensions and the broader economic environment,sparked discussion,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"{""cause_score"": 0.5, ""effect_score"": 0.0}"
row4,0.0,0.0,0.0,,,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"{""cause_score"": 0, ""effect_score"": 0}"
row5,0.5,1.0,0.75,remote work policies were widely adopted,"reduced corporate real estate expenditures occurred alongside other factors, creating a complex scenario",Implementation of remote work policies,Reduced corporate real estate expenditures,"{""cause_score"": 0.5, ""effect_score"": 1}"
row6,0.5,0.0,0.25,the financial community acknowledged changes in data privacy laws,enhanced data privacy legislation emerged,Enhanced data privacy legislation,Increased compliance costs for businesses,"{""cause_score"": 0.5, ""effect_score"": 0.0}"
row7,1.0,0.5,0.75,adoption of central bank digital currencies (CBDCs),notably declined during the same period,Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"{""cause_score"": 1, ""effect_score"": 0.5}"
row8,0.5,0.0,0.25,Increased international trade tariffs emerged,Increased prices of commodities such while oil seemed to follow,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"{""cause_score"": 0.5, ""effect_score"": 0.0}"
row9,0.0,0.0,0.0,,,Rising inflation rates,Decrease in consumer purchasing power,"{""cause_score"": 0, ""effect_score"": 0}"
row10,0.0,0.0,0.0,,,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row11,0.5,1.0,0.75,fintech grew,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"{""cause_score"": 0.5, ""effect_score"": 1}"
row12,0.0,0.0,0.0,,,Sudden bankruptcy of major banks,Decline in investor confidence,"{""cause_score"": 0, ""effect_score"": 0}"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"{""cause_score"": 0, ""effect_score"": 0}"
row14,0.0,0.0,0.0,,,Expansion of financial literacy education,Increased household savings rates,"{""cause_score"": 0, ""effect_score"": 0}"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"{""cause_score"": 1, ""effect_score"": 1}"
row16,1.0,0.0,0.5,implementation of carbon taxes,numerous alternative explanations were proposed,Implementation of carbon taxes,Increased operational costs for heavy industries,"{""cause_score"": 1, ""effect_score"": 0}"
row17,0.5,1.0,0.75,The shift toward AI-driven credit scoring,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"{""cause_score"": 0.5, ""effect_score"": 1}"
row18,0.0,0.0,0.0,,,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"{""cause_score"": 0, ""effect_score"": 0}"
row19,0.0,0.0,0.0,,,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"{""cause_score"": 0, ""effect_score"": 0}"
row20,1.0,1.0,1.0,Central bank raises interest rates,Consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"{""cause_score"": 1, ""effect_score"": 1}"
row21,0.5,0.0,0.25,sanctions played a role,the reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"{""cause_score"": 0.5, ""effect_score"": 0.0}"
row22,0.0,0.0,0.0,,,Increased corporate mergers and acquisitions,Reduction in market competition,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row23,0.5,0.5,0.5,strengthened regulations,increased administrative overhead appeared,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"{""cause_score"": 0.5, ""effect_score"": 0.5}"
