"id","cause","effect","raw_response"
"row0","central bank raises interest rates","consumer borrowing decreases","```json\n{""""cause"""": """"central bank raises interest rates"""", """"effect"""": """"consumer borrowing decreases""""}\n```"
"row1","introduction of algorithmic trading strategies","increased volatility in financial markets","```json\n{""""cause"""": """"introduction of algorithmic trading strategies"""", """"effect"""": """"increased volatility in financial markets""""}\n```"
"row2","tightening regulations on cryptocurrency exchanges","reduced market liquidity was noticed","```json\n{""""cause"""": """"tightening regulations on cryptocurrency exchanges"""", """"effect"""": """"reduced market liquidity was noticed""""}\n```"
"row3","increased international trade tariffs and the broader economic environment","reduction in import-dependent industries' profitability","{""""cause"""": """"increased international trade tariffs and the broader economic environment"""", """"effect"""": """"reduction in import-dependent industries' profitability""""}"
"row4","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row5","remote work policies were widely adopted","reduced corporate real estate expenditures","{""""cause"""": """"remote work policies were widely adopted"""", """"effect"""": """"reduced corporate real estate expenditures""""}"
"row6","changes in data privacy laws","increase in compliance costs for businesses","```json\n{""""cause"""": """"changes in data privacy laws"""", """"effect"""": """"increase in compliance costs for businesses""""}\n```"
"row7","","","```json\n{""""cause"""": """""""", """"effect"""": """"""""}\n```"
"row8","escalation of geopolitical tensions","increased prices of commodities such as oil","{""""cause"""": """"escalation of geopolitical tensions"""", """"effect"""": """"increased prices of commodities such as oil""""}"
"row9","rising inflation rates","decreased consumer purchasing power","{""""cause"""": """"rising inflation rates"""", """"effect"""": """"decreased consumer purchasing power""""}"
"row10","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row11","the rise of fintech lending platforms","improved access to credit for small businesses","```json\n{""""cause"""": """"the rise of fintech lending platforms"""", """"effect"""": """"improved access to credit for small businesses""""}\n```"
"row12","sudden bankruptcy of major banks","investor confidence appeared to decline","```json\n{""""cause"""": """"sudden bankruptcy of major banks"""", """"effect"""": """"investor confidence appeared to decline""""}\n```"
"row13","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row14","reduction in government subsidies for renewable energy","decreased private investment in solar power projects","{""""cause"""": """"reduction in government subsidies for renewable energy"""", """"effect"""": """"decreased private investment in solar power projects""""}"
"row15","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row16","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row17","The shift toward AI-driven credit scoring","increased accuracy in loan approvals","{""""cause"""": """"The shift toward AI-driven credit scoring"""", """"effect"""": """"increased accuracy in loan approvals""""}"
"row18","","","```json\n{""""cause"""": """""""", """"effect"""": """"""""}\n```"
"row19","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row20","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row21","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row22","","","```json\n{""""cause"""": """""""", """"effect"""": """"""""}\n```"
"row23","strengthened regulations","increased administrative overhead","{""""cause"""": """"strengthened regulations"""", """"effect"""": """"increased administrative overhead""""}"
"row24","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row25","","","{}"
"row26","","","{""""cause"""": """""""", """"effect"""": """"""""}"
"row27","rapid expansion of urban areas","loss of wetlands","{""""cause"""": """"rapid expansion of urban areas"""", """"effect"""": """"loss of wetlands""""}"
"row28","rapid ocean acidification","decreased coral reef resilience","{""""cause"""": """"rapid ocean acidification"""", """"effect"""": """"decreased coral reef resilience""""}"
"row29","adoption of regenerative agriculture practices","increased soil carbon sequestration","{""""cause"""": """"adoption of regenerative agriculture practices"""", """"effect"""": """"increased soil carbon sequestration""""}"
"row30","extensive deforestation in tropical regions","reduction in regional rainfall","{""""cause"""": """"extensive deforestation in tropical regions"""", """"effect"""": """"reduction in regional rainfall""""}"
"row31","elevated currents of increased microplastic pollution","decline in marine life populations","```json\n{""""cause"""": """"elevated currents of increased microplastic pollution"""", """"effect"""": """"decline in marine life populations""""}\n```"
"row32","widespread drought conditions","reduced agricultural productivity","{""""cause"""": """"widespread drought conditions"""", """"effect"""": """"reduced agricultural productivity""""}"
"row33","intensified hurricane activity","increased coastal infrastructure damage","{""""cause"""": """"intensified hurricane activity"""", """"effect"""": """"increased coastal infrastructure damage""""}"
"row34","melting permafrost in polar regions","increased methane release","```json\n{""""cause"""": """"melting permafrost in polar regions"""", """"effect"""": """"increased methane release""""}\n```"
