id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,1.0,1.0,1.0,central bank raises interest rates,consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row1,1.0,1.0,1.0,the introduction of algorithmic trading strategies,increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row2,1.0,1.0,1.0,tightening regulations on cryptocurrency exchanges,reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row3,0.5,1.0,0.75,increased international trade tariffs and the broader economic environment,reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"```json
{""cause_score"": 0.5, ""effect_score"": 1}
```"
row4,0.5,0.0,0.25,the rise in ESG investing standards caught attention,Numerous alternative explanations were proposed,Rise in ESG investing standards,Growth in sustainable investment funds,"```json
{""cause_score"": 0.5, ""effect_score"": 0}
```"
row5,1.0,1.0,1.0,remote work policies were widely adopted,reduced corporate real estate expenditures occurred,Implementation of remote work policies,Reduced corporate real estate expenditures,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row6,0.5,0.0,0.25,changes in data privacy laws,enhanced data privacy legislation emerged,Enhanced data privacy legislation,Increased compliance costs for businesses,"```json
{""cause_score"": 0.5, ""effect_score"": 0}
```"
row7,1.0,1.0,1.0,adoption of central bank digital currencies (CBDCs),"cash usage, which notably declined during the same period",Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row8,1.0,1.0,1.0,escalation of geopolitical tensions,Increased prices of commodities such as oil,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row10,0.5,1.0,0.75,The growing focus on financial knowledge,coincided with increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"```json
{""cause_score"": 0.5, ""effect_score"": 1}
```"
row11,1.0,1.0,1.0,fintech grew,improved access to credit for small businesses was observed,Growth of fintech lending platforms,Improved access to credit for small businesses,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row12,1.0,1.0,1.0,the sudden bankruptcy of major banks,investor confidence appeared to decline,Sudden bankruptcy of major banks,Decline in investor confidence,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"```json
{""cause_score"": 0, ""effect_score"": 0}
```"
row14,1.0,1.0,1.0,a reduction in government subsidies for renewable energy,decreased private investment in solar power projects,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row15,1.0,1.0,1.0,the ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row16,0.0,0.0,0.0,,,Implementation of carbon taxes,Increased operational costs for heavy industries,"```json
{""cause_score"": 0, ""effect_score"": 0}
```"
row17,1.0,1.0,1.0,The shift toward AI-driven credit scoring,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row18,1.0,1.0,1.0,supply chain disruptions due to pandemics,inflationary pressures on consumer goods were observed,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row19,0.0,0.0,0.0,,,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"```json
{""cause_score"": 0, ""effect_score"": 0}
```"
row20,1.0,1.0,1.0,rise in housing market speculation,increased risk of property price bubbles,Rise in housing market speculation,Increased risk of property price bubbles,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row21,0.5,0.0,0.25,sanctions,reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"```json
{""cause_score"": 0.5, ""effect_score"": 0}
```"
row22,1.0,1.0,1.0,The rise in corporate mergers and acquisitions,market competition decreased,Increased corporate mergers and acquisitions,Reduction in market competition,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row23,0.5,1.0,0.75,strengthened regulations,increased administrative overhead,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"```json
{""cause_score"": 0.5, ""effect_score"": 1}
```"
row24,0.0,0.0,0.0,,,Shift towards digital payment systems,Reduced circulation of physical currency,"```json
{""cause_score"": 0, ""effect_score"": 0}
```"
row25,1.0,1.0,1.0,,,,,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row26,1.0,1.0,1.0,increased frequency of forest fires in the region,reduction in biodiversity,Increased frequency of forest fires,Reduction in biodiversity,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row27,1.0,1.0,1.0,rapid expansion of urban areas,loss of wetlands,Expansion of urban areas,Loss of wetlands,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row28,1.0,1.0,1.0,rapid ocean acidification,decreased coral reef resilience,Rapid ocean acidification,Decreased coral reef resilience,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row29,1.0,1.0,1.0,adoption of regenerative agriculture practices,increased soil carbon sequestration,Adoption of regenerative agriculture practices,Increased soil carbon sequestration,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row30,1.0,1.0,1.0,extensive deforestation in tropical regions,a reduction in regional rainfall,Extensive deforestation in tropical regions,Reduction in regional rainfall,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
