"id","cause","effect","raw_response"
"row0","Rise in housing market speculation","Increased risk of property price bubbles","{\n    """"cause"""": """"Rise in housing market speculation"""",\n    """"effect"""": """"Increased risk of property price bubbles""""\n}"
"row1","Supply chain disruptions due to pandemics","Inflationary pressures on consumer goods","{\n    """"cause"""": """"Supply chain disruptions due to pandemics"""",\n    """"effect"""": """"Inflationary pressures on consumer goods""""\n}"
"row2","Rise in ESG investing standards","Growth in sustainable investment funds","{\n    """"cause"""": """"Rise in ESG investing standards"""",\n    """"effect"""": """"Growth in sustainable investment funds""""\n}"
"row3","Escalation of geopolitical tensions and the broader economic environment","Increased prices of commodities such as oil","{\n    """"cause"""": """"Escalation of geopolitical tensions and the broader economic environment"""",\n    """"effect"""": """"Increased prices of commodities such as oil""""\n}"
"row4","Tightening regulations on cryptocurrency exchanges","Reduced market liquidity","{\n    """"cause"""": """"Tightening regulations on cryptocurrency exchanges"""",\n    """"effect"""": """"Reduced market liquidity""""\n}"
"row5","shift toward remote work","reduced corporate real estate expenditures","{\n    """"cause"""": """"shift toward remote work"""",\n    """"effect"""": """"reduced corporate real estate expenditures""""\n}"
"row6","enhanced data privacy legislation emerged","increase in compliance costs for businesses","{\n    """"cause"""": """"enhanced data privacy legislation emerged"""",\n    """"effect"""": """"increase in compliance costs for businesses""""\n}"
"row7","adoption of central bank digital currencies (CBDCs)","decline in cash usage","{\n    """"cause"""": """"adoption of central bank digital currencies (CBDCs)"""",\n    """"effect"""": """"decline in cash usage""""\n}"
"row8","Increased international trade tariffs","Reduction in import-dependent industries' profitability","{\n    """"cause"""": """"Increased international trade tariffs"""",\n    """"effect"""": """"Reduction in import-dependent industries' profitability""""\n}"
"row9","rising inflation rates","decreased consumer purchasing power","{\n    """"cause"""": """"rising inflation rates"""",\n    """"effect"""": """"decreased consumer purchasing power""""\n}"
"row10","Reduction in government subsidies for renewable energy","Decreased private investment in solar power projects","{\n    """"cause"""": """"Reduction in government subsidies for renewable energy"""",\n    """"effect"""": """"Decreased private investment in solar power projects""""\n}"
"row11","rise of fintech lending platforms","improved access to credit for small businesses","{\n    """"cause"""": """"rise of fintech lending platforms"""",\n    """"effect"""": """"improved access to credit for small businesses""""\n}"
"row12","sudden bankruptcy of major banks","investor confidence appeared to decline","{\n    """"cause"""": """"sudden bankruptcy of major banks"""",\n    """"effect"""": """"investor confidence appeared to decline""""\n}"
"row13","","","{\n    """"cause"""": """""""",\n    """"effect"""": """"""""\n}"
"row14","Expansion of financial literacy education","Increased household savings rates","{\n    """"cause"""": """"Expansion of financial literacy education"""",\n    """"effect"""": """"Increased household savings rates""""\n}"
"row15","ongoing rise in remote banking services","marked decline in physical bank branches","{\n  """"cause"""": """"ongoing rise in remote banking services"""",\n  """"effect"""": """"marked decline in physical bank branches""""\n}"
"row16","implementation of carbon taxes","increased operational costs for heavy industries","{\n    """"cause"""": """"implementation of carbon taxes"""",\n    """"effect"""": """"increased operational costs for heavy industries""""\n}"
"row17","shift toward AI-driven credit scoring","increased accuracy in loan approvals","{\n    """"cause"""": """"shift toward AI-driven credit scoring"""",\n    """"effect"""": """"increased accuracy in loan approvals""""\n}"
"row18","Introduction of algorithmic trading strategies","Increased volatility in financial markets","{\n    """"cause"""": """"Introduction of algorithmic trading strategies"""",\n    """"effect"""": """"Increased volatility in financial markets""""\n}"
