id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,1.0,1.0,1.0,central bank raises interest rates,consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"{""cause_score"": 1, ""effect_score"": 1}"
row1,1.0,1.0,1.0,the introduction of algorithmic trading strategies,increased volatility in financial markets,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"{""cause_score"": 1.0, ""effect_score"": 1.0}"
row2,1.0,1.0,1.0,tightening regulations on cryptocurrency exchanges,reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"{""cause_score"": 1.0, ""effect_score"": 1.0}"
row3,1.0,1.0,1.0,increased international trade tariffs,reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"{""cause_score"": 1, ""effect_score"": 1}"
row4,1.0,1.0,1.0,the rise in ESG investing standards,growth in sustainable investment funds,Rise in ESG investing standards,Growth in sustainable investment funds,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row5,1.0,1.0,1.0,remote work policies were widely adopted,reduced corporate real estate expenditures occurred,Implementation of remote work policies,Reduced corporate real estate expenditures,"{""cause_score"": 1.0, ""effect_score"": 1.0}"
row6,0.5,1.0,0.75,broader legal shifts,increase in compliance costs for businesses,Enhanced data privacy legislation,Increased compliance costs for businesses,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row7,1.0,1.0,1.0,adoption of central bank digital currencies (CBDCs),cash usage declined,Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row8,1.0,1.0,1.0,escalation of geopolitical tensions emerged,increased prices of commodities such as oil seemed to follow,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row10,0.5,1.0,0.75,growing focus on financial knowledge,increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row11,1.0,1.0,1.0,growth of fintech lending platforms,improved access to credit for small businesses,Growth of fintech lending platforms,Improved access to credit for small businesses,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row12,0.0,0.0,0.0,,,Sudden bankruptcy of major banks,Decline in investor confidence,"```json
{""cause_score"": 0, ""effect_score"": 0}
```"
row13,0.0,0.0,0.0,,,Increased automation in financial auditing,Reduction in accounting errors,"{""cause_score"": 0, ""effect_score"": 0}"
row14,1.0,1.0,1.0,reduction in government subsidies for renewable energy,decreased private investment in solar power projects,Reduction in government subsidies for renewable energy,Decreased private investment in solar power projects,"{""cause_score"": 1, ""effect_score"": 1}"
row15,1.0,1.0,1.0,ongoing rise in remote banking services,physical bank branches saw a marked decline,Surge in remote banking services,Decline in physical bank branch numbers,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row16,1.0,1.0,1.0,implementation of carbon taxes,increased operational costs for heavy industries,Implementation of carbon taxes,Increased operational costs for heavy industries,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row17,1.0,1.0,1.0,the shift toward AI-driven credit scoring,increased accuracy in loan approvals,Adoption of AI-driven credit scoring,Increased accuracy in loan approvals,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row18,1.0,1.0,1.0,supply chain disruptions amid pandemics,inflationary pressures on consumer goods,Supply chain disruptions due to pandemics,Inflationary pressures on consumer goods,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row19,0.5,1.0,0.75,use of blockchain,improved transparency in transactions,Expanded use of blockchain in supply chain finance,Improved transparency in transactions,"```json
{""cause_score"": 0.5, ""effect_score"": 1.0}
```"
row20,1.0,1.0,1.0,rise in housing market speculation,increased risk of property price bubbles,Rise in housing market speculation,Increased risk of property price bubbles,"{""cause_score"": 1, ""effect_score"": 1}"
row21,0.0,0.0,0.0,sanctions,reduction of foreign direct investment,Reduction of foreign direct investment due to economic sanctions,Slowed economic growth,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row22,0.0,0.0,0.0,broader industry changes,rise in corporate mergers and acquisitions,Increased corporate mergers and acquisitions,Reduction in market competition,"{""cause_score"": 0.0, ""effect_score"": 0.0}"
row23,1.0,0.5,0.75,strengthened regulations in anti-money laundering policies,increased administrative overhead,Strengthened anti-money laundering policies,Increased administrative overhead for banks,"```json
{""cause_score"": 1.0, ""effect_score"": 0.5}
```"
row24,1.0,1.0,1.0,the shift toward digital payment systems accelerated,physical currency circulation declined,Shift towards digital payment systems,Reduced circulation of physical currency,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row25,1.0,1.0,1.0,,,,,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row26,1.0,1.0,1.0,increased frequency of forest fires in the region,reduction in biodiversity,Increased frequency of forest fires,Reduction in biodiversity,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row27,1.0,1.0,1.0,rapid expansion of urban areas,loss of wetlands,Expansion of urban areas,Loss of wetlands,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row28,1.0,1.0,1.0,rapid ocean acidification,decreased coral reef resilience,Rapid ocean acidification,Decreased coral reef resilience,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row29,1.0,1.0,1.0,adoption of regenerative agriculture practices,increased soil carbon sequestration,Adoption of regenerative agriculture practices,Increased soil carbon sequestration,"{""cause_score"": 1.0, ""effect_score"": 1.0}"
row30,1.0,1.0,1.0,extensive deforestation in tropical regions,reduction in regional rainfall,Extensive deforestation in tropical regions,Reduction in regional rainfall,"{""cause_score"": 1, ""effect_score"": 1}"
row31,1.0,1.0,1.0,elevated currents of increased microplastic pollution,decline in marine life populations,Increased microplastic pollution,Decline in marine life populations,"```json
{""cause_score"": 1, ""effect_score"": 1}
```"
row32,1.0,1.0,1.0,widespread drought conditions,reduced agricultural productivity,Widespread drought conditions,Reduced agricultural productivity,"{""cause_score"": 1, ""effect_score"": 1}"
row33,1.0,1.0,1.0,seasons of intensified hurricane activity,increased coastal infrastructure damage,Intensified hurricane activity,Increased coastal infrastructure damage,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row34,1.0,1.0,1.0,melting permafrost in polar regions,atmospheric stations recorded increased methane release,Melting permafrost in polar regions,Increased methane release,"```json
{""cause_score"": 1.0, ""effect_score"": 1.0}
```"
row35,1.0,0.5,0.75,implementation of plastic bag bans,reduction in plastic waste in areas,Implementation of plastic bag bans,Reduction in plastic waste,"```json
{""cause_score"": 1.0, ""effect_score"": 0.5}
```"
